28.43 1.05  139.74  1.06
44.23 0.68 147.82  0.62
44.06 0.68 147.81  1.27
70.46 0.43 151.02  0.26
100.  0.30  152.0   0.8   
143.  0.21  151.7   0.9   
217.  0.138 147.6   1.0   
353.  0.085 141.5   1.3   
545.  0.055 99.3     2.3   
857.  0.035 109.3   4.0   

 
