   IDX           HGT           PRE           TEM            He            H2           CH4          C2H2          C2H4          C2H6
    63           239        0.2888         165.4     123873.52     875098.81     1237.9447     2.0853755 0.00084426877      12.87747
    64           247        0.2092         165.4     122204.04     876595.74     1171.8494     2.5106383 0.00069230769     13.835243
    65           255        0.1517         165.4     120514.75     878386.51     1104.6057     2.9289585 0.00063184828     14.745635
    66           263          0.11         165.4     118679.95     880240.76      1035.907     3.3312578 0.00064238273     15.612287
    67           271       0.07979         165.4      116738.2     882403.43     965.95136     3.7110157  0.0006806867     16.437768
    68           279        0.0579         165.4     114668.77     884463.72     895.50473      4.057571 0.00066246057     17.223975
    69           287       0.04206         165.6        112500     886413.04     824.45652      4.373913 0.00056413043     17.972826
    70           295       0.03056         165.7     110179.64     889221.56     753.74251     4.6504491 0.00049603293     18.682635
    71           303       0.02223           166      107790.6     891488.05     683.42951     4.8897362 0.00052112531     19.363149
    72           311       0.01619         166.4     105221.34     894154.37     613.79115     5.0865494 0.00064912032     20.005675
    73           319       0.01179         166.8     102518.06     896935.39     545.38356     5.2410697 0.00096252196     20.612922
    74           327      0.008608         167.5     99623.959     899811.98     477.03465     5.3585818  0.0022022562     21.184529
    75           335      0.006293         168.3     96345.515     903285.35     406.05389     5.4374308   0.010383906     21.731266
    76           343      0.004611         169.4     92647.059     907200.81     332.45436     5.4614604   0.049295132     22.099391
    77           351      0.003387         170.9     88440.111     911559.89     259.81894     5.3607242     0.1551532     21.650418
    78           359      0.002497         172.8     83705.826     916045.85     193.40974     5.0095511    0.33170965     19.503343
    79           367       0.00185         175.4     78536.841      921214.5     137.41657     4.3135715    0.51838765     15.573878
    80           375      0.001378         178.9     72966.679     926907.92     93.371551     3.3303475    0.62164099     10.849158
    81           384     0.0009984         184.2     66335.625     933537.05     57.473899       2.14082    0.58441558     6.0988032
    82           393     0.0007322         191.5     59458.484     940433.21     33.382671     1.1617329    0.42563177     2.8700361
    83           402     0.0005446         201.4     52577.846     947422.15     18.177642    0.52730985    0.23318019     1.1240429
    84           412     0.0004006         216.9     45186.846     954409.57     8.6098655    0.17765321    0.08064275    0.31599402
    85           423     0.0002946           241     37771.003      961946.7     3.4857724   0.042897471    0.01732159   0.058830172
    86           435       0.00022         282.8     30789.707      968944.1     1.2170364  0.0076060337  0.0025519077  0.0074338953
    87           449     0.0001653         330.5     24566.777     975165.56    0.35678808 0.00095115894 0.00025590508 0.00061948124
    88           466     0.0001228         380.1     19060.231     980350.28   0.082229816 7.7317386e-05 1.6189663e-05 3.0333191e-05
    89           486     9.084e-05         432.7     14516.765     984878.37   0.015706772 4.5772518e-06 7.3438527e-07 9.5857988e-07
    90           509     6.702e-05         486.5     10920.749     988478.11  0.0026049494 2.1390642e-07 2.6009418e-08 2.0949805e-08
    91           535      4.94e-05         539.5     8150.4371     991106.42  0.0003926741 8.4775399e-09 7.7359059e-10 3.4293036e-10
    92           565     3.602e-05         592.5     5994.5504     992960.94 5.1725704e-05 2.6680291e-10 1.7958674e-11 4.0122616e-12
    93           598     2.623e-05         641.9     4393.7859      994258.7 6.4606552e-06   7.65282e-12 3.7723742e-13 4.0864573e-14
    94           634     1.907e-05           687     3209.3486     995524.61 7.6976629e-07 2.0228742e-13 7.2501243e-15 3.8284436e-16
    95           672     1.391e-05         726.7     2351.1175     995674.12 9.1708724e-08 5.3496756e-15 1.3965393e-16 3.7101658e-18
    96           713     1.009e-05         761.8      1711.308     996248.05 1.0317874e-08 1.2808755e-16 2.4168838e-18  3.402814e-20
    97           756     7.313e-06         791.6     1245.3309     996264.75 1.1419393e-09 2.9822202e-18 4.0624533e-20 3.2197819e-22
    98           801     5.287e-06         816.8     903.81745     996161.23 1.2288334e-10 6.6133504e-20 6.4917893e-22  3.066752e-24
    99           848     3.807e-06         837.8     653.40219     995747.27 1.2785541e-11 1.3833536e-21 9.7569866e-24 2.8882139e-26
   100           896     2.744e-06         854.8     472.91488     995270.85 1.3323302e-12  2.899828e-23 1.4716251e-25 2.8490972e-28
   101           945     1.979e-06         868.5     342.51969     994548.76 1.3864325e-13 6.0551181e-25 2.2132041e-27 2.8903695e-30
   102           995     1.425e-06         879.5     247.61499     994037.48 1.4216354e-14 1.2333901e-26  3.241908e-29 2.9156729e-32
   103          1046     1.025e-06         888.2     178.77229     992700.73 1.4371186e-15 2.4458538e-28 4.6164892e-31             0
   104        1096.7     7.392e-07         895.1     129.43339     991475.85 1.4850409e-16 5.0359351e-30             0             0
   105        1148.7     5.315e-07         900.6     93.381665     989943.87  1.494855e-17 9.9064546e-32             0             0
   106        1200.7     3.833e-07         904.8     67.546432     988269.79 1.5294884e-18             0             0             0
   107        1253.7     2.753e-07         908.2      48.63388     985883.42 1.5177596e-19             0             0             0
   108        1306.7     1.981e-07         910.7     35.063452     983502.54 1.5209391e-20             0             0             0
   109        1359.7     1.428e-07         912.8     25.286849     980582.52  1.533098e-21             0             0             0
   110        1413.7     1.025e-07         914.4     18.158316     977225.16 1.5019082e-22             0             0             0
   111        1467.7     7.374e-08         915.7     13.049366     973088.79 1.4801166e-23             0             0             0
